çÄñ⁄ñº,âeãøìx,ëää÷åWêî
Wine_2,69.15319815353452,-0.7263831781569255
Phenols,11.104303381536566,0.28910112258745657
Proanth,5.368323236227774,0.13669791176947949
Color.int,4.114270851884405,0.5463641950837029
Nonflavanoid.phenols,2.0898702102137046,-0.15592946668732904
Proline,1.8858601221867641,0.643720037178213
Acl,1.8218531961204987,-0.3102351368910849
Ash,1.477778587581168,0.21154459643174447
Hue,1.3593199650097723,-0.07174719733015457
OD,0.5831218118198876,0.07234318740052229
Mg,0.48512768943086504,0.2707982259114802
Flavanoids,0.2862600897972347,0.23681492790034556
Malic.acid,0.27071270465685376,0.09439694091041391
Wine_1,0.0,0.6472322816284553
Wine_3,0.0,0.11494103010617931
