â∆í¿,ï~ã‡,óÁã‡,ñ êœ,ízîNêî,âwìkï‡ï™
60000,1,1,23.15,19,7
77000,2,1,23.19,16,2
60000,1,1,32.05,19,10
62000,1,1,18,14,11
64000,2,1,21.11,0,2
51000,1,1,15.8,21,12
43000,1,1,14.6,16,12
59000,2,0,17.39,18,6
55000,2,1,19.8,16,10
51000,2,1,17,18,6
74000,2,1,19.88,5,8
47000,2,0.5,21,18,13
58000,2,1,18,42,11
72000,2,2,20.7,0,2
69000,1,1,27,15,4
52000,1,1,17,17,13
73000,2,1,24.94,4,4
50000,1,1,23,39,5
56000,0,0,23.14,17,15
36000,1,1,18,34,8
63000,0,0,17.42,14,10
64000,2,1,22.01,14,5
70000,2,2,31.53,28,8
55000,2,0,22.77,23,15
55500,1,1,14.76,19,15
57000,1,1,19,19,10
71000,2,1,28.7,0,5
66000,2,1,28,18,8
50000,1,1,17.95,19,15
55500,1,1,14.8,20,6
59000,2,2,19.83,16,15
55000,1,1,16.52,15,8
67000,2,0,28.35,12,7
70000,2,1,24.4,16,15
61000,2,1,23,22,2
70000,2,1,21.95,0,5
72000,2,1,22.68,34,2
49000,1,1,16,20,7
59000,2,1,19.04,14,10
56000,2,1,18,18,3
35000,2,1,17,31,15
54500,1,1,20.31,18,10
63000,1,1,24,23,3
65000,2,1,19.8,17,10
48000,2,1,27,27,5
56500,1,1,14.76,19,15
54500,1,1,15.94,18,15
55000,2,1,19,22,6
71000,2,1,22,3,7
72000,2,1,23.1,16,3
54500,1,1,17.77,18,10
67000,1,1,30.83,19,10
56000,1,1,19,18,10
55500,0,0,15.67,19,10
50000,2,1,14.87,17,10
52000,1,2,20.66,22,7
61500,1,1,28.92,23,4
77000,2,1,23.1,16,3
56000,1,1,19,18,9
46000,1,1,14,19,8
58000,1,1,21,21,10
62000,2,2,20.28,9,10
64500,2,1,18.04,4,8
70000,2,1,20.44,13,5
57000,1,1,18.01,15,13
65000,1,2,20,18,10
77000,2,2,25.68,0,5
60000,1,1,24.3,20,5
55000,1,0,16.52,19,12
39000,1,1,21,36,7
65000,2,1,28.92,12,10
65000,2,1,22.98,0,13
72000,2,1,20.7,0,2
76000,2,2,25.68,0,5
72000,2,1,23.1,14,3
66000,1,1,19.87,11,2
63000,1,1,19.44,15,10
57000,1,1,18.5,16,13
63000,1,1,19.8,16,10
50500,1,1,14.76,18,15
35000,2,1,17,31,15
55000,2,1,16,18,2
53000,1,1,15.8,21,12
54000,2,1,20,19,2
67000,2,1,20.7,0,2
52000,1,1,23,23,15
72000,2,1,20.7,0,2
45000,1,1,14,19,10
61000,1,1,18.31,18,2
42000,1,1,24,31,9
57000,2,0,21.7,18,12
47000,1,1,22.4,37,10
59000,1,1,18.01,18,2
63000,2,1,20.03,14,15
64000,1,1,26.4,11,10
51000,1,1,20.5,20,2
63000,1,1,18,11,2
56000,1,1,18,19,8
59000,1,1,20,14,7
59000,0,0,17.42,14,10
61000,1,1,19.51,13,11
51000,2,1,14.88,24,2
66000,2,2,27.74,2,10
77000,2,1,22.68,34,2
65000,1,1,30.5,23,15
57000,1,1,19.56,14,10
59000,1,1,24,13,12
62000,2,1,19.5,18,2
53000,2,1,21,17,13
72000,2,1,22.77,0,5
63000,2,1,26,28,10
67000,1,1,24.75,14,11
56000,2,1,19.8,16,10
45000,1,0,14.51,19,10
61000,1,1,29.7,22,9
55000,2,1,22,22,7
59000,0,0,17.42,14,10
61000,1,1,20.2,18,5
69000,2,1,23.77,5,15
52000,1,1,14.87,19,15
56000,1,0,17.32,23,8
65000,1,1,19.8,16,11
59000,2,2,18.5,16,9
64000,2,1,23.73,2,13
60000,2,2,20.3,16,4
58000,2,0,20.06,18,5
59000,2,1,33,25,5
65000,1,1,19.44,16,10
82000,1,1,30.22,0,8
60000,2,0,20.66,24,6
50000,0,0,20.2,27,13
55000,1,1,21.87,22,6
60000,2,2,17.35,16,4
49000,2,1,18.18,17,10
52000,0,0,23.14,38,14
53000,2,1,16.52,19,12
53000,1,1,25,26,7
55000,2,1,17.4,16,10
68000,1,1,25.31,12,13
50000,1,2,20.66,22,8
48000,2,1,24,20,13
49000,2,1,14.87,17,10
50000,2,2,17,17,15
51000,2,0,17,20,6
52000,1,1,18.15,16,6
72000,2,1,28.06,16,15
58000,1,1,16,13,7
66000,2,1,21,17,4
72000,2,1,20.7,0,2
55000,1,1,21.06,38,6
60000,2,1,20,16,4
61000,1,1,23.1,10,12
46000,2,1,23.21,34,7
61000,2,1,22.4,22,3
49000,1,1,17.95,19,15
72000,2,1,19.4,1,6
72000,2,2,20.7,0,1
57000,2,1,21.01,24,12
62500,2,0,21.79,37,5
61000,1,1,21.05,11,10
65000,2,1,22.98,0,13
70000,1,1,27,15,4
86000,1,1,30.22,0,8
52000,2,1,24,17,11
58000,2,1,18.2,16,13
70000,2,1,28.09,13,4
60000,2,1,18.5,16,13
72000,2,1,20.7,0,1
55000,2,1,19.83,12,13
50000,2,0,17.4,15,13
69000,2,1,19.87,1,2
67000,1,1,19.87,11,2
67000,2,1,19.83,20,8
74000,2,1,19.8,5,10
72000,2,2,20.7,0,2
67000,2,1,20.7,0,2
60000,2,1,19,11,7
62000,2,2,20.28,9,10
67000,2,1,33,19,5
50000,1,0,18.02,25,13
36500,2,1,13.36,32,12
60000,2,1,16,3,8
66000,1,1,25.4,11,10
64000,2,1,21.47,7,15
52000,0,0,20.2,27,13
54000,2,1,20,16,4
50000,2,2,13.36,8,10
60000,2,1,20,16,4
58000,1,1,19.6,14,10
56000,1,1,21.06,38,6
62000,1,1,16.56,18,3
60000,1,1,18,19,8
64000,1,1,16.1,15,2
51000,1,1,16.5,15,10
60000,2,0,18.01,20,5
72000,2,1,29,17,13
51000,2,1,19,22,3
69000,1,1,26.5,15,4
67000,2,1,23.88,0,5
60000,2,1,18,19,11
72000,2,1,20.7,0,2
58000,2,1,18.6,18,11
73000,2,2,25.68,0,5
57000,2,1,22,18,5
51000,1,1,22.4,37,10
72500,1,1,22,5,7
56000,1,0,17.32,23,8
60000,1,1,22,20,4
52000,1,1,18.15,16,6
62000,1,1,19.85,14,10
66000,2,1,18,16,5
67000,2,1,28.16,26,7
58000,2,1,27.07,37,8
51000,1,1,18,19,8
55000,2,0,22.77,23,15
57000,1,1,19,19,10
67000,2,1,20.7,0,1
73000,2,1,23.51,16,3
25000,1,1,10,21,9
67000,1,1,16.01,15,2
58000,1,1,22.68,24,9
63000,2,1,26.4,11,10
61000,1,1,18,18,5
26000,1,1,10,43,9
75000,2,1,19.8,5,10
62500,2,1,26,37,5
58000,1,1,24.84,22,10
67000,2,1,25.11,12,5
55000,2,1,17.4,16,10
56000,1,2,19.94,14,7
58000,1,0,16,17,5
83000,2,2,30,16,7
56000,1,1,19,18,9
53000,2,2,17.5,17,7
44000,1,1,16,19,10
60000,2,1,18.5,16,10
55500,1,1,14.76,18,15
59000,1,1,23.51,19,5
52000,2,1,14.88,24,2
73000,2,2,23.6,8,5
67000,2,1,19.83,18,8
61000,1,1,18,19,10
61000,1,1,19,18,3
61000,1,1,24,18,7
50000,1,1,19.87,28,10
67000,2,1,20.7,0,2
45000,1,1,18.9,28,12
64000,2,1,21.73,0,2
52000,1,1,18.83,25,3
71000,2,1,24.94,4,4
60000,2,1,26.5,20,7
58000,1,1,18,14,11
74000,2,2,25.68,0,5
63000,2,2,18,16,5
66000,1,1,19.87,11,2
54000,1,1,18,18,15
47000,1,1,20.5,20,2
72000,2,1,18.47,1,6
57000,1,1,19,18,9
62000,2,2,23.14,16,8
57500,2,1,16.53,14,7
58000,2,1,20.03,14,15
61000,2,1,20.82,7,10
55000,1,0,17.52,17,10
60000,2,1,23.5,25,3
65000,1,1,19.8,16,10
56000,2,1,20.24,16,13
52000,2,1,19.83,22,15
73000,2,1,24.4,16,15
63000,0,0,17.42,14,10
56500,1,1,26.94,23,12
36000,2,1,17,31,15
60000,2,1,19,16,4
70000,2,1,28.56,31,9
72000,2,1,20.7,0,2
57000,2,1,25.92,24,5
69000,2,1,27.06,19,5
48000,2,1,17.62,25,2
55000,2,1,23,24,10
65000,2,1,22.98,0,13
70000,1,1,27,16,4
65000,2,1,26.4,11,8
51000,1,1,15,19,12
60000,1,1,15.8,19,12
58000,2,1,19,15,9
66000,2,2,27.74,2,10
61000,2,1,22.68,18,10
62000,2,1,19.8,14,13
58000,2,1,19.8,17,7
65000,2,1,26.4,11,13
60000,1,1,23,17,14
58000,2,2,19.87,20,9
62000,1,1,20.5,16,7
52000,1,0,18.02,25,13
57000,1,1,21.7,20,10
60000,1,1,20.37,13,14
72000,2,1,20.7,0,2
